name,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,109,25953985,337861663152,1,5,11300,51.861305,20.150894,-0.427617,0.16681,-0.888436,15.2377,179.566,87.6284,130.129,134.748,326.332,-14.1657,171.61,89.6326,-14.1657,171.61,89.6326,0,0,0,-14.1657,171.61,89.6326,-45.8601,173.19,51.4173,0.638058,-0.0318051,0.769331,-45.8601,173.19,51.4173,-63.263,171.523,22.3395,0.512925,0.049111,0.857027,-63.263,171.523,22.3395,-79.8084,173.5,6.06921,0.710439,-0.0848637,0.698623
Thumb,109,25953986,337861672198,1,5,11300,51.885433,20.160269,-0.428243,0.164941,-0.888483,15.2142,179.438,87.6204,130.328,135.102,326.448,-14.2096,171.5,89.6099,-14.2096,171.5,89.6099,0,0,0,-14.2096,171.5,89.6099,-45.9214,173.113,51.3804,0.63811,-0.0324587,0.769261,-45.9214,173.113,51.3804,-63.2977,171.444,22.2684,0.511903,0.0491736,0.857635,-63.2977,171.444,22.2684,-79.8783,173.458,6.02297,0.711617,-0.0864326,0.697231
Thumb,109,25953987,337861681205,1,5,11300,51.885433,20.160269,-0.428425,0.163926,-0.888583,15.1764,179.266,87.5825,130.339,135.202,326.437,-14.2539,171.347,89.5532,-14.2539,171.347,89.5532,0,0,0,-14.2539,171.347,89.5532,-45.9589,172.992,51.3194,0.637974,-0.0331014,0.769346,-45.9589,172.992,51.3194,-63.3126,171.332,22.1935,0.511237,0.048912,0.858047,-63.3126,171.332,22.1935,-79.9195,173.385,5.97979,0.712745,-0.0880914,0.695869
Thumb,109,25953988,337861690278,1,5,11300,51.909561,20.169643,-0.42852,0.16317,-0.888677,15.1503,179.127,87.571,130.392,135.246,326.562,-14.2991,171.221,89.5275,-14.2991,171.221,89.5275,0,0,0,-14.2991,171.221,89.5275,-46.0062,172.876,51.266,0.63772,-0.0332876,0.769548,-46.0062,172.876,51.266,-63.3378,171.207,22.109,0.510349,0.0491516,0.858561,-63.3378,171.207,22.109,-79.9974,173.305,5.93967,0.714675,-0.0900057,0.693641
Thumb,109,25953989,337861699298,1,5,11300,51.909561,20.169643,-0.428739,0.161018,-0.888963,15.0712,178.993,87.5498,130.371,135.691,326.617,-14.3861,171.111,89.4838,-14.3861,171.111,89.4838,0,0,0,-14.3861,171.111,89.4838,-46.0903,172.821,51.2222,0.637661,-0.0343943,0.769549,-46.0903,172.821,51.2222,-63.4192,171.185,22.0618,0.510271,0.048165,0.858664,-63.4192,171.185,22.0618,-80.1788,173.39,6.01049,0.718966,-0.0945957,0.688578
Thumb,109,25953990,337861708333,1,5,11300,51.933689,20.179018,-0.428984,0.160024,-0.889025,15.0201,178.876,87.545,130.44,135.821,326.74,-14.457,171.008,89.4602,-14.457,171.008,89.4602,0,0,0,-14.457,171.008,89.4602,-46.1602,172.73,51.1683,0.637345,-0.0346286,0.7698,-46.1602,172.73,51.1683,-63.4751,171.093,21.9812,0.509619,0.0481906,0.85905,-63.4751,171.093,21.9812,-80.3048,173.36,5.99635,0.721637,-0.097227,0.68541
Thumb,109,25953991,337861717409,1,5,11300,51.933689,20.179018,-0.429231,0.159333,-0.88903,14.9806,178.777,87.517,130.467,135.908,326.714,-14.5016,170.924,89.4159,-14.5016,170.924,89.4159,0,0,0,-14.5016,170.924,89.4159,-46.1833,172.647,51.1062,0.636912,-0.034636,0.770158,-46.1833,172.647,51.1062,-63.4729,171.003,21.9046,0.508878,0.0484004,0.859477,-63.4729,171.003,21.9046,-80.347,173.314,5.9729,0.72354,-0.0991048,0.683131
Thumb,109,25953992,337861726400,1,5,11300,51.957817,20.188393,-0.429297,0.159005,-0.889056,14.9501,178.706,87.5151,130.508,135.905,326.83,-14.5494,170.86,89.4031,-14.5494,170.86,89.4031,0,0,0,-14.5494,170.86,89.4031,-46.2285,172.569,51.0607,0.636565,-0.0343378,0.770459,-46.2285,172.569,51.0607,-63.4999,170.904,21.831,0.508105,0.0489785,0.859902,-63.4999,170.904,21.831,-80.4177,173.245,5.93408,0.725075,-0.100322,0.681324
Thumb,109,25953993,337861735458,1,5,11300,51.957817,20.188393,-0.429314,0.158922,-0.889063,14.9238,178.656,87.4904,130.486,135.878,326.807,-14.5786,170.819,89.3702,-14.5786,170.819,89.3702,0,0,0,-14.5786,170.819,89.3702,-46.2436,172.509,51.0153,0.636283,-0.033961,0.770708,-46.2436,172.509,51.0153,-63.5009,170.828,21.7782,0.50769,0.0494579,0.860119,-63.5009,170.828,21.7782,-80.452,173.193,5.9204,0.726504,-0.101333,0.679649
Thumb,109,25953994,337861744481,1,5,11300,51.981945,20.197769,-0.429367,0.158857,-0.889049,14.9062,178.62,87.4924,130.536,135.839,326.917,-14.6121,170.786,89.3673,-14.6121,170.786,89.3673,0,0,0,-14.6121,170.786,89.3673,-46.2843,172.45,50.9872,0.63613,-0.0334202,0.770858,-46.2843,172.45,50.9872,-63.5295,170.74,21.7264,0.507099,0.0502893,0.86042,-63.5295,170.74,21.7264,-80.5154,173.118,5.89181,0.727656,-0.101868,0.678336
