Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ
153	1.01333	404.918	64.015	-193.538	440.865	61.878	-281.414	467.978	66.593	-297.034	497.174	62.647	-286.681	540.064	57.061	-259.342	442.015	70.24	-266.388	473.393	72.833	-279.62	498.311	69.085	-269.314	541.362	60.432	-243.872	448.393	80.68	-243.029	477.852	83.105	-249.494	506.518	79.445	-243.31	537.577	68.134	-228.538	413.903	64.819	-183.637	430.953	70.255	-156.524	463.047	96.261	-199.606	487.793	98.043	-199.898	510.031	90.747	-195.456	527.043	85.853	-191.352	456.828	67.784	-129.188	476.752	96.652	-159.11	520.514	90.094	-167.758	483.209	93.966	-110.245	536.742	89.266	-128.685	641.001	60.751	105.859
154	1.02	404.918	64.119	-193.475	440.719	61.192	-281.188	467.938	66.68	-297.028	497.149	62.744	-286.676	540.052	57.147	-259.352	441.853	69.669	-266.23	473.361	72.896	-279.597	498.294	69.168	-269.32	541.351	60.493	-243.88	448.265	80.347	-242.999	477.826	83.171	-249.48	506.507	79.526	-243.309	537.564	68.193	-228.533	413.916	64.902	-183.6	430.964	70.282	-156.534	462.96	96.325	-199.634	487.758	98.092	-199.899	510.018	90.795	-195.444	527.042	85.887	-191.356	456.843	67.791	-129.2	476.751	96.666	-159.107	520.522	90.12	-167.764	483.211	93.97	-110.239	536.742	89.277	-128.686	641	60.734	105.87
155	1.02667	404.908	64.294	-193.405	440.605	60.47	-281.016	467.898	66.748	-297.01	497.129	62.854	-286.679	540.051	57.244	-259.371	441.727	69.12	-266.093	473.332	72.958	-279.589	498.273	69.259	-269.311	541.335	60.557	-243.897	448.105	79.966	-242.905	477.805	83.227	-249.469	506.497	79.599	-243.296	537.561	68.243	-228.539	413.918	64.899	-183.629	430.986	70.315	-156.529	462.917	96.359	-199.645	487.751	98.157	-199.904	510.007	90.837	-195.441	527.031	85.906	-191.342	456.845	67.798	-129.212	476.76	96.687	-159.111	520.525	90.13	-167.77	483.223	93.966	-110.234	536.75	89.266	-128.683	641.005	60.725	105.875
156	1.03333	404.851	64.495	-193.346	440.447	59.767	-280.777	467.868	66.821	-297	497.107	62.975	-286.689	540.048	57.334	-259.404	441.566	68.522	-265.924	473.304	73.025	-279.582	498.277	69.407	-269.342	541.347	60.621	-243.92	447.975	79.62	-242.86	477.768	83.297	-249.502	506.495	79.677	-243.298	537.533	68.268	-228.564	413.933	65.163	-183.514	431.005	70.355	-156.522	462.866	96.404	-199.672	487.72	98.203	-199.916	510.005	90.873	-195.45	527.034	85.912	-191.344	456.855	67.807	-129.223	476.776	96.706	-159.113	520.531	90.135	-167.771	483.23	93.953	-110.249	536.764	89.259	-128.69	641.006	60.724	105.876
157	1.04	404.828	64.672	-193.261	440.292	59.035	-280.527	467.843	66.891	-296.998	497.098	63.092	-286.72	540.06	57.438	-259.443	441.433	67.941	-265.757	473.28	73.081	-279.575	498.284	69.505	-269.351	541.349	60.694	-243.945	447.879	79.259	-242.829	477.753	83.349	-249.497	506.498	79.752	-243.301	537.535	68.302	-228.587	413.934	65.288	-183.48	431.017	70.401	-156.519	462.831	96.437	-199.7	487.707	98.238	-199.917	510.008	90.909	-195.448	527.039	85.911	-191.347	456.862	67.821	-129.24	476.8	96.727	-159.133	520.538	90.139	-167.78	483.246	93.949	-110.249	536.78	89.244	-128.706	641.01	60.726	105.875
158	1.04667	404.805	64.844	-193.194	440.186	58.269	-280.278	467.817	66.948	-296.996	497.099	63.198	-286.741	540.05	57.505	-259.47	441.333	67.312	-265.576	473.254	73.134	-279.576	498.29	69.595	-269.358	541.36	60.748	-243.979	447.763	78.874	-242.785	477.739	83.355	-249.462	506.514	79.816	-243.313	537.54	68.329	-228.59	413.926	65.41	-183.457	431.026	70.469	-156.554	462.787	96.507	-199.739	487.705	98.275	-199.924	510.012	90.927	-195.465	527.052	85.893	-191.351	456.871	67.833	-129.266	476.821	96.749	-159.159	520.558	90.135	-167.792	483.258	93.944	-110.261	536.79	89.221	-128.715	641.003	60.731	105.884
159	1.05333	404.794	65.01	-193.14	439.988	57.327	-279.953	467.802	67.002	-296.999	497.105	63.285	-286.761	540.039	57.551	-259.491	441.128	66.598	-265.355	473.242	73.193	-279.575	498.285	69.608	-269.332	541.355	60.771	-243.999	447.634	78.428	-242.729	477.756	83.383	-249.4	506.534	79.873	-243.321	537.539	68.341	-228.603	413.938	65.508	-183.447	431.047	70.522	-156.593	462.764	96.542	-199.794	487.703	98.313	-199.946	510.032	90.957	-195.478	527.077	85.874	-191.361	456.883	67.865	-129.3	476.849	96.78	-159.188	520.581	90.132	-167.819	483.276	93.946	-110.288	536.815	89.215	-128.74	641.003	60.735	105.872
160	1.06	404.8	65.162	-193.104	439.83	56.355	-279.582	467.792	67.065	-297.007	497.125	63.375	-286.79	540.041	57.59	-259.511	440.97	65.764	-265.079	473.24	73.265	-279.579	498.292	69.681	-269.349	541.361	60.803	-244.025	447.501	77.944	-242.683	477.765	83.435	-249.403	506.567	79.943	-243.349	537.538	68.349	-228.624	413.95	65.625	-183.459	431.077	70.563	-156.629	462.71	96.6	-199.852	487.695	98.383	-199.988	510.041	90.984	-195.506	527.092	85.855	-191.383	456.899	67.88	-129.338	476.883	96.816	-159.219	520.605	90.131	-167.842	483.294	93.944	-110.311	536.83	89.199	-128.762	640.995	60.74	105.872
161	1.06667	404.78	65.341	-193.074	439.657	55.307	-279.182	467.791	67.129	-297.019	497.142	63.487	-286.82	540.047	57.631	-259.537	440.828	64.832	-264.798	473.236	73.334	-279.584	498.33	69.855	-269.413	541.379	60.838	-244.047	447.341	77.345	-242.584	477.746	83.532	-249.466	506.579	79.995	-243.354	537.574	68.386	-228.616	413.963	65.75	-183.462	431.104	70.603	-156.669	462.662	96.651	-199.903	487.663	98.44	-200.014	510.045	91.021	-195.522	527.115	85.855	-191.394	456.912	67.9	-129.381	476.913	96.832	-159.258	520.623	90.138	-167.873	483.312	93.941	-110.338	536.846	89.193	-128.782	640.996	60.739	105.859
162	1.07333	404.807	65.534	-193.031	439.467	54.153	-278.692	467.768	67.189	-297.021	497.145	63.59	-286.835	540.056	57.692	-259.556	440.665	63.768	-264.478	473.228	73.395	-279.593	498.335	69.952	-269.447	541.386	60.894	-244.082	447.186	76.688	-242.495	477.745	83.606	-249.48	506.594	80.057	-243.36	537.582	68.417	-228.647	413.971	65.879	-183.461	431.15	70.646	-156.708	462.585	96.695	-199.977	487.638	98.491	-200.058	510.046	91.07	-195.553	527.123	85.861	-191.416	456.931	67.921	-129.424	476.943	96.865	-159.315	520.637	90.148	-167.89	483.328	93.951	-110.361	536.862	89.193	-128.803	640.99	60.739	105.856
