Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ
178	1.18	413.125	67.037	-189.382	449.279	76.243	-270.253	473.84	73.558	-283.668	499.829	70.46	-273.363	537.442	63.674	-248.02	450.373	84.743	-255.176	479.323	80.797	-266.699	501.567	77.618	-256.25	540.52	67.19	-232.767	456.177	94.648	-230.681	483.857	93.06	-236.583	510.583	88.292	-230.1	538.523	74.955	-216.918	419.82	69.281	-176.639	433.696	76.08	-145.625	468.742	104.927	-185.007	493.222	105.536	-185.296	514.64	96.846	-181.17	531.2	91.025	-177.501	459.404	71.433	-117.12	481.391	101.705	-144.914	524.695	93.805	-153.7	487.552	95.605	-96.659	540.497	89.557	-115.296	644.419	50.709	115.984
179	1.18667	413.136	67.011	-189.382	449.307	76.184	-270.267	473.873	73.517	-283.691	499.865	70.444	-273.381	537.478	63.631	-248.025	450.396	84.685	-255.2	479.357	80.755	-266.717	501.593	77.603	-256.264	540.555	67.138	-232.775	456.191	94.589	-230.71	483.887	93.001	-236.591	510.608	88.258	-230.102	538.553	74.917	-216.93	419.833	69.251	-176.649	433.711	76.049	-145.636	468.766	104.901	-185.023	493.242	105.488	-185.317	514.656	96.806	-181.179	531.216	90.976	-177.509	459.427	71.396	-117.135	481.414	101.672	-144.929	524.723	93.764	-153.712	487.575	95.581	-96.677	540.509	89.527	-115.304	644.408	50.694	115.995
180	1.19333	413.136	66.991	-189.378	449.33	76.12	-270.278	473.897	73.482	-283.704	499.895	70.434	-273.405	537.516	63.586	-248.032	450.412	84.62	-255.212	479.378	80.71	-266.717	501.619	77.59	-256.279	540.584	67.097	-232.775	456.208	94.524	-230.726	483.902	92.959	-236.608	510.637	88.236	-230.11	538.583	74.872	-216.939	419.841	69.222	-176.648	433.732	76.018	-145.649	468.783	104.855	-185.043	493.255	105.449	-185.328	514.683	96.758	-181.19	531.232	90.929	-177.525	459.439	71.358	-117.15	481.426	101.638	-144.95	524.732	93.724	-153.724	487.594	95.551	-96.687	540.53	89.501	-115.323	644.409	50.707	115.995
181	1.2	413.143	66.974	-189.372	449.335	76.056	-270.286	473.911	73.457	-283.728	499.906	70.449	-273.425	537.542	63.556	-248.049	450.426	84.56	-255.225	479.397	80.689	-266.749	501.634	77.58	-256.295	540.611	67.046	-232.782	456.211	94.47	-230.74	483.917	92.921	-236.625	510.659	88.208	-230.125	538.603	74.829	-216.95	419.856	69.203	-176.651	433.752	75.991	-145.653	468.796	104.827	-185.056	493.272	105.41	-185.337	514.699	96.709	-181.201	531.246	90.88	-177.543	459.444	71.327	-117.161	481.448	101.607	-144.967	524.762	93.668	-153.731	487.603	95.521	-96.704	540.546	89.47	-115.329	644.423	50.735	115.982
182	1.20667	413.139	66.962	-189.368	449.345	75.994	-270.296	473.922	73.439	-283.747	499.934	70.434	-273.437	537.572	63.525	-248.056	450.428	84.503	-255.23	479.398	80.667	-266.771	501.658	77.569	-256.306	540.635	67.026	-232.797	456.228	94.409	-230.745	483.93	92.891	-236.633	510.674	88.188	-230.129	538.636	74.782	-216.941	419.864	69.177	-176.654	433.76	75.964	-145.662	468.81	104.774	-185.074	493.282	105.366	-185.349	514.724	96.646	-181.21	531.257	90.821	-177.543	459.455	71.296	-117.174	481.455	101.575	-144.979	524.774	93.623	-153.738	487.606	95.483	-96.712	540.556	89.432	-115.343	644.413	50.729	115.992
183	1.21333	413.142	66.942	-189.364	449.352	75.938	-270.309	473.937	73.433	-283.766	499.952	70.431	-273.453	537.6	63.511	-248.064	450.442	84.456	-255.238	479.409	80.641	-266.776	501.668	77.561	-256.321	540.664	66.999	-232.809	456.236	94.359	-230.744	483.94	92.872	-236.643	510.684	88.154	-230.122	538.652	74.748	-216.959	419.866	69.167	-176.655	433.766	75.94	-145.675	468.832	104.736	-185.088	493.298	105.323	-185.365	514.732	96.586	-181.217	531.247	90.748	-177.537	459.471	71.262	-117.182	481.463	101.538	-144.993	524.79	93.581	-153.751	487.619	95.453	-96.726	540.573	89.389	-115.348	644.427	50.746	115.985
184	1.22	413.137	66.924	-189.355	449.356	75.885	-270.318	473.943	73.438	-283.782	499.959	70.428	-273.463	537.635	63.505	-248.084	450.447	84.417	-255.247	479.415	80.639	-266.792	501.671	77.544	-256.329	540.693	66.982	-232.823	456.244	94.321	-230.764	483.946	92.857	-236.652	510.686	88.125	-230.125	538.672	74.718	-216.961	419.868	69.132	-176.656	433.782	75.904	-145.673	468.849	104.695	-185.107	493.302	105.283	-185.368	514.75	96.537	-181.231	531.258	90.688	-177.538	459.474	71.236	-117.194	481.484	101.494	-145.013	524.785	93.517	-153.737	487.619	95.421	-96.736	540.585	89.347	-115.354	644.427	50.733	115.987
185	1.22667	413.139	66.886	-189.34	449.361	75.847	-270.334	473.953	73.434	-283.801	499.965	70.416	-273.475	537.675	63.503	-248.1	450.442	84.356	-255.238	479.425	80.647	-266.809	501.674	77.516	-256.335	540.72	66.966	-232.827	456.258	94.272	-230.757	483.953	92.84	-236.651	510.699	88.107	-230.135	538.689	74.682	-216.965	419.873	69.101	-176.66	433.783	75.862	-145.685	468.86	104.655	-185.115	493.315	105.231	-185.38	514.763	96.497	-181.242	531.256	90.634	-177.544	459.483	71.191	-117.196	481.493	101.466	-145.023	524.8	93.469	-153.748	487.615	95.38	-96.741	540.584	89.309	-115.365	644.429	50.75	115.997
186	1.23333	413.149	66.844	-189.336	449.37	75.81	-270.34	473.966	73.446	-283.816	499.965	70.413	-273.481	537.713	63.504	-248.113	450.446	84.309	-255.24	479.435	80.633	-266.822	501.689	77.499	-256.342	540.749	66.956	-232.841	456.263	94.224	-230.767	483.968	92.82	-236.655	510.699	88.081	-230.133	538.716	74.654	-216.966	419.877	69.066	-176.661	433.787	75.829	-145.691	468.897	104.606	-185.114	493.326	105.182	-185.379	514.768	96.456	-181.248	531.276	90.575	-177.549	459.511	71.137	-117.206	481.498	101.422	-145.034	524.809	93.434	-153.76	487.611	95.357	-96.751	540.587	89.282	-115.373	644.434	50.743	115.998
187	1.24	413.147	66.801	-189.327	449.371	75.76	-270.342	473.976	73.437	-283.829	499.977	70.398	-273.482	537.745	63.502	-248.124	450.452	84.256	-255.244	479.444	80.605	-266.814	501.689	77.482	-256.349	540.772	66.942	-232.849	456.26	94.171	-230.758	483.975	92.799	-236.66	510.704	88.06	-230.13	538.729	74.632	-216.971	419.88	69.03	-176.668	433.791	75.781	-145.698	468.9	104.553	-185.121	493.335	105.143	-185.384	514.781	96.415	-181.254	531.282	90.503	-177.546	459.513	71.099	-117.207	481.508	101.388	-145.038	524.814	93.387	-153.765	487.607	95.328	-96.756	540.596	89.253	-115.372	644.421	50.737	115.997
