Frame	Time	FT1X	FT1Y	FT1Z	FT2X	FT2Y	FT2Z	FT3X	FT3Y	FT3Z	FT4X	FT4Y	FT4Z	FT5X	FT5Y	FT5Z	DP2X	DP2Y	DP2Z	DP3X	DP3Y	DP3Z	DP4X	DP4Y	DP4Z	DP5X	DP5Y	DP5Z	PP2X	PP2Y	PP2Z	PP3X	PP3Y	PP3Z	PP4X	PP4Y	PP4Z	PP5X	PP5Y	PP5Z	IPX	IPY	IPZ	MP1X	MP1Y	MP1Z	MP2X	MP2Y	MP2Z	MP3X	MP3Y	MP3Z	MP4X	MP4Y	MP4Z	MP5X	MP5Y	MP5Z	CMC1X	CMC1Y	CMC1Z	CMC2X	CMC2Y	CMC2Z	CMC5X	CMC5Y	CMC5Z	RSX	RSY	RSZ	USX	USY	USZ	EMX	EMY	EMZ
169	1.12	425.168	61.431	-210.078	470.48	76.304	-291.083	494.212	79.785	-303.164	522.181	72.442	-290.245	556.09	66.715	-262.411	470.407	84.188	-275.83	498.755	85.637	-285.484	522.499	78.683	-272.779	558.045	69.494	-246.822	474.416	93.444	-251.059	501.333	94.837	-254.391	529.235	88.011	-245.955	554.801	76.301	-230.832	432.492	63.947	-198.124	447.193	72.286	-169.321	483.447	104.709	-205.025	507.856	105.088	-203.535	528.889	96.442	-197.69	544.703	90.2	-192.606	468.392	72.317	-137.945	492.859	102.883	-164.518	536.92	94.967	-169.775	494.601	99.532	-116.207	549.474	94.529	-130.322	639.329	87.161	112.178
170	1.12667	425.18	61.46	-210.093	470.458	76.34	-291.076	494.116	79.841	-303.153	522.197	72.505	-290.256	556.107	66.795	-262.42	470.383	84.233	-275.823	498.661	85.703	-285.466	522.512	78.759	-272.81	558.056	69.588	-246.828	474.407	93.482	-251.065	501.261	94.855	-254.376	529.234	88.06	-245.956	554.814	76.375	-230.847	432.505	63.986	-198.16	447.206	72.309	-169.337	483.425	104.756	-205.028	507.855	105.147	-203.541	528.881	96.504	-197.706	544.71	90.261	-192.62	468.405	72.348	-137.957	492.856	102.929	-164.514	536.916	95.026	-169.769	494.593	99.566	-116.211	549.467	94.57	-130.323	639.317	87.221	112.151
171	1.13333	425.196	61.494	-210.115	470.439	76.393	-291.082	494.014	79.896	-303.144	522.202	72.568	-290.261	556.113	66.866	-262.423	470.361	84.278	-275.834	498.57	85.743	-285.453	522.514	78.808	-272.81	558.07	69.683	-246.853	474.383	93.529	-251.07	501.199	94.865	-254.379	529.226	88.126	-245.949	554.809	76.447	-230.85	432.523	64.006	-198.176	447.215	72.358	-169.347	483.434	104.803	-205.032	507.834	105.203	-203.555	528.869	96.569	-197.712	544.701	90.317	-192.626	468.41	72.379	-137.966	492.847	102.981	-164.514	536.912	95.083	-169.774	494.589	99.599	-116.212	549.468	94.628	-130.33	639.346	87.24	112.153
172	1.14	425.206	61.518	-210.117	470.413	76.437	-291.087	493.921	79.954	-303.142	522.211	72.629	-290.278	556.116	66.941	-262.438	470.34	84.322	-275.833	498.484	85.785	-285.444	522.52	78.851	-272.816	558.069	69.753	-246.863	474.374	93.57	-251.064	501.152	94.875	-254.382	529.224	88.18	-245.964	554.814	76.516	-230.862	432.534	64.041	-198.188	447.225	72.385	-169.359	483.426	104.846	-205.037	507.841	105.266	-203.562	528.859	96.647	-197.728	544.7	90.373	-192.636	468.411	72.408	-137.977	492.841	103.028	-164.527	536.903	95.142	-169.781	494.588	99.633	-116.222	549.459	94.68	-130.335	639.321	87.257	112.129
173	1.14667	425.211	61.554	-210.129	470.397	76.487	-291.094	493.851	80.003	-303.137	522.226	72.681	-290.286	556.12	67.01	-262.445	470.326	84.365	-275.844	498.424	85.816	-285.43	522.523	78.895	-272.817	558.078	69.819	-246.864	474.367	93.623	-251.072	501.111	94.881	-254.387	529.227	88.229	-245.965	554.807	76.583	-230.86	432.533	64.068	-198.206	447.222	72.426	-169.368	483.42	104.903	-205.049	507.831	105.319	-203.578	528.837	96.712	-197.743	544.699	90.431	-192.641	468.42	72.449	-137.99	492.84	103.091	-164.549	536.906	95.192	-169.79	494.588	99.663	-116.225	549.454	94.741	-130.342	639.328	87.333	112.116
174	1.15333	425.215	61.589	-210.138	470.382	76.535	-291.104	493.801	80.033	-303.14	522.241	72.733	-290.297	556.113	67.086	-262.462	470.301	84.4	-275.842	498.383	85.845	-285.432	522.53	78.945	-272.827	558.087	69.885	-246.882	474.357	93.678	-251.083	501.065	94.895	-254.403	529.219	88.273	-245.964	554.811	76.643	-230.869	432.538	64.109	-198.218	447.224	72.453	-169.383	483.426	104.974	-205.08	507.825	105.367	-203.594	528.828	96.766	-197.749	544.711	90.509	-192.675	468.418	72.489	-138.008	492.834	103.141	-164.558	536.895	95.233	-169.804	494.594	99.712	-116.238	549.457	94.78	-130.357	639.329	87.367	112.106
175	1.16	425.223	61.624	-210.158	470.374	76.583	-291.117	493.756	80.048	-303.14	522.278	72.809	-290.327	556.118	67.139	-262.479	470.284	84.445	-275.854	498.344	85.856	-285.437	522.557	79.021	-272.859	558.087	69.929	-246.884	474.349	93.72	-251.089	501.04	94.913	-254.413	529.231	88.332	-245.976	554.808	76.694	-230.873	432.545	64.148	-198.238	447.234	72.483	-169.394	483.426	105.015	-205.091	507.822	105.431	-203.604	528.832	96.825	-197.758	544.726	90.578	-192.697	468.426	72.533	-138.014	492.835	103.194	-164.566	536.894	95.284	-169.814	494.585	99.751	-116.25	549.485	94.729	-130.211	639.352	87.385	112.109
176	1.16667	425.217	61.667	-210.182	470.375	76.632	-291.125	493.727	80.067	-303.141	522.306	72.846	-290.338	556.112	67.182	-262.481	470.28	84.492	-275.86	498.319	85.88	-285.437	522.584	79.062	-272.873	558.082	69.974	-246.899	474.343	93.782	-251.098	501.025	94.943	-254.425	529.254	88.387	-245.996	554.811	76.745	-230.885	432.55	64.184	-198.259	447.237	72.522	-169.404	483.423	105.062	-205.104	507.817	105.475	-203.62	528.829	96.876	-197.768	544.716	90.639	-192.705	468.425	72.579	-138.038	492.835	103.249	-164.587	536.897	95.335	-169.832	494.59	99.8	-116.262	549.486	94.774	-130.218	639.322	87.431	112.055
177	1.17333	425.232	61.705	-210.197	470.377	76.691	-291.136	493.716	80.091	-303.15	522.364	72.88	-290.343	556.114	67.223	-262.494	470.276	84.535	-275.871	498.311	85.908	-285.451	522.623	79.105	-272.886	558.09	70.018	-246.909	474.347	93.833	-251.1	501.012	94.971	-254.436	529.284	88.437	-246.026	554.81	76.786	-230.894	432.565	64.234	-198.285	447.235	72.564	-169.424	483.421	105.119	-205.113	507.837	105.547	-203.645	528.827	96.926	-197.779	544.726	90.692	-192.708	468.434	72.621	-138.049	492.846	103.301	-164.624	536.903	95.369	-169.832	494.588	99.838	-116.276	549.493	94.828	-130.229	639.346	87.472	112.062
178	1.18	425.233	61.745	-210.219	470.389	76.742	-291.158	493.719	80.112	-303.158	522.421	72.912	-290.355	556.129	67.279	-262.507	470.291	84.594	-275.885	498.311	85.93	-285.46	522.674	79.133	-272.899	558.099	70.064	-246.923	474.358	93.885	-251.112	501.02	94.999	-254.453	529.325	88.473	-246.034	554.824	76.837	-230.9	432.573	64.274	-198.305	447.252	72.607	-169.435	483.425	105.171	-205.131	507.823	105.598	-203.656	528.845	96.983	-197.796	544.728	90.754	-192.728	468.434	72.662	-138.066	492.847	103.341	-164.623	536.898	95.414	-169.841	494.588	99.884	-116.287	549.505	94.892	-130.246	639.351	87.518	112.047
